EMP_ID,FIRST_NAME,LAST_NAME,SALARY,DEPARTMENT_ID
198,Donald,OConnell,2600,50
199,Douglas,Grant,2600,50
200,Jennifer,Whalen,4400,10
201,Michael,Hartstein,13000,20
202,Pat,Fay,6000,20
203,Susan,Mavris,6500,40
204,Hermann,Baer,10000,70
205,Shelley,Higgins,12008,110
206,William,Gietz,8300,110
100,Steven,King,24000,90
101,Neena,Kochhar,17000,90
102,Lex,De Haan,17000,90
103,Alexander,Hunold,9000,60
104,Bruce,Ernst,6000,60
105,David,Austin,4800,60
106,Valli,Pataballa,4800,60
107,Diana,Lorentz,4200,60
108,Nancy,Greenberg,12008,100
109,Daniel,Faviet,9000,100
110,John,Chen,8200,100
111,Ismael,Sciarra,7700,100
112,Jose Manuel,Urman,7800,100
113,Luis,Popp,6900,100
114,Den,Raphaely,11000,30
115,Alexander,Khoo,3100,30
116,Shelli,Baida,2900,30
117,Sigal,Tobias,2800,30
118,Guy,Himuro,2600,30
119,Karen,Colmenares,2500,30
120,Matthew,Weiss,8000,50
121,Adam,Fripp,8200,50
122,Payam,Kaufling,7900,50
123,Shanta,Vollman,6500,50
124,Kevin,Mourgos,5800,50
125,Julia,Nayer,3200,50
126,Irene,Mikkilineni,2700,50
127,James,Landry,2400,50
128,Steven,Markle,2200,50
129,Laura,Bissot,3300,50
130,Mozhe,Atkinson,2800,50
131,James,Marlow,2500,50
132,TJ,Olson,2100,50
133,Jason,Mallin,3300,50
134,Michael,Rogers,2900,50
135,Ki,Gee,2400,50
136,Hazel,Philtanker,2200,50
137,Renske,Ladwig,3600,50
138,Stephen,Stiles,3200,50
139,John,Seo,2700,50
140,Joshua,Patel,2500,50
